1	 208	 'OUTGOING SW RAD FLUX (TOA) '	 'TMPMN18 '	 'DIAG '	 api
1	 208	 'OUTGOING SW RAD FLUX (TOA) '	 'TMPMN21 '	 'DIAG '	 api
1	 209	 'CLEAR-SKY (II) UPWARD SW FLUX (TOA) '	 'TDAYM '	 'DIAG '	 apf
1	 209	 'CLEAR-SKY (II) UPWARD SW FLUX (TOA) '	 'TMONMN '	 'DIAG '	 api
1	 209	 'CLEAR-SKY (II) UPWARD SW FLUX (TOA) '	 'TMPMN00 '	 'DIAG '	 api
1	 209	 'CLEAR-SKY (II) UPWARD SW FLUX (TOA) '	 'TMPMN03 '	 'DIAG '	 api
1	 209	 'CLEAR-SKY (II) UPWARD SW FLUX (TOA) '	 'TMPMN06 '	 'DIAG '	 api
1	 209	 'CLEAR-SKY (II) UPWARD SW FLUX (TOA) '	 'TMPMN09 '	 'DIAG '	 api
1	 209	 'CLEAR-SKY (II) UPWARD SW FLUX (TOA) '	 'TMPMN12 '	 'DIAG '	 api
1	 209	 'CLEAR-SKY (II) UPWARD SW FLUX (TOA) '	 'TMPMN15 '	 'DIAG '	 api
1	 209	 'CLEAR-SKY (II) UPWARD SW FLUX (TOA) '	 'TMPMN18 '	 'DIAG '	 api
1	 209	 'CLEAR-SKY (II) UPWARD SW FLUX (TOA) '	 'TMPMN21 '	 'DIAG '	 api
1	 210	 'CLEAR-SKY (II) DOWN SURFACE SW FLUX '	 'TDAYM '	 'DIAG '	 apd
1	 210	 'CLEAR-SKY (II) DOWN SURFACE SW FLUX '	 'T3H '	 'DIAG '	 aph
1	 210	 'CLEAR-SKY (II) DOWN SURFACE SW FLUX '	 'TMONMN '	 'DIAG '	 api
1	 210	 'CLEAR-SKY (II) DOWN SURFACE SW FLUX '	 'TMPMN00 '	 'DIAG '	 api
1	 210	 'CLEAR-SKY (II) DOWN SURFACE SW FLUX '	 'TMPMN03 '	 'DIAG '	 api
1	 210	 'CLEAR-SKY (II) DOWN SURFACE SW FLUX '	 'TMPMN06 '	 'DIAG '	 api
1	 210	 'CLEAR-SKY (II) DOWN SURFACE SW FLUX '	 'TMPMN09 '	 'DIAG '	 api
1	 210	 'CLEAR-SKY (II) DOWN SURFACE SW FLUX '	 'TMPMN12 '	 'DIAG '	 api
1	 210	 'CLEAR-SKY (II) DOWN SURFACE SW FLUX '	 'TMPMN15 '	 'DIAG '	 api
1	 210	 'CLEAR-SKY (II) DOWN SURFACE SW FLUX '	 'TMPMN18 '	 'DIAG '	 api
1	 210	 'CLEAR-SKY (II) DOWN SURFACE SW FLUX '	 'TMPMN21 '	 'DIAG '	 api
1	 211	 'CLEAR-SKY (II) UP SURFACE SW FLUX '	 'TDAYM '	 'DIAG '	 apd
1	 211	 'CLEAR-SKY (II) UP SURFACE SW FLUX '	 'T3H '	 'DIAG '	 aph
